date,open,high,low,close,volume,oi,store_name,category_name,zip_code,availability,sum_cpi,count_cpi,TRUE,Amazon Marketplace,"D1_PAINT, SUNDRIES AND CLEANING"
11/01/1985,115.48,116.78,115.48,116.28,900900,0,Walmart Marketplace,D8_AUTOMOTIVE / SPORTING GOODS /,62939,TRUE,102141,1261,FALSE,Sears Marketplace,D2_HAND AND POWER TOOLS
11/04/1985,116.28,117.07,115.82,116.04,753400,0,WalMart,DW_WINTER GOODS,27621,TRUE,130830,1335,,Home Depot,D3_ELECTRICAL
11/05/1985,116.04,116.57,115.88,116.44,876800,0,Sears Marketplace,D6_HOUSEWARES,27161,FALSE,208215,1983,,Do it Best,D4_PLUMBING
11/06/1985,116.44,117.62,116.44,117.38,935000,0,Menards,DW_WINTER GOODS,5879,FALSE,140505,1615,,Amazon,D5_HARDWARE
11/07/1985,117.38,117.96,117.38,117.62,886400,0,Home Depot,D9_CHRISTMAS,26086,TRUE,110504,1454,,Walmart Marketplace,D6_HOUSEWARES
11/08/1985,117.62,119.39,117.58,119.26,867600,0,Sears,D2_HAND AND POWER TOOLS,49172,TRUE,107749,1007,,Lowes,DW_WINTER GOODS
11/11/1985,119.26,120.54,119.18,120.4,803900,0,Petco,D5_HARDWARE,25115,FALSE,103922,1142,,Menards,D8_AUTOMOTIVE / SPORTING GOODS /
11/12/1985,120.39,122.01,120.39,121.82,1083000,0,Amazon,D6_HOUSEWARES,58770,FALSE,103700,1037,,WalMart,D9_CHRISTMAS
11/13/1985,121.82,121.92,120.9,121.17,932100,0,Do it Best,D3_ELECTRICAL,12225,TRUE,136369,1643,,Sears,
11/14/1985,121.17,121.92,120.8,121.83,980400,0,Walmart Marketplace,D3_ELECTRICAL,9207,TRUE,129750,1038,,Grainger,
11/15/1985,121.83,123.1,121.79,122.18,952700,0,Sears Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",10238,FALSE,181790,1855,,Tractor Supply,
11/18/1985,122.18,122.28,121.73,121.96,822100,0,Lowes,D2_HAND AND POWER TOOLS,49067,FALSE,166102,1567,,Orchard Supply,
11/19/1985,121.96,122.8,121.74,122.57,1018000,0,Petco,D5_HARDWARE,16124,FALSE,141642,1161,,Petco,
11/20/1985,122.57,122.79,122.2,122.2,976000,0,Menards,"D1_PAINT, SUNDRIES AND CLEANING",50669,FALSE,154816,1312,,,
11/21/1985,122.2,123.81,122.2,123.61,1199000,0,WalMart,DW_WINTER GOODS,3127,FALSE,111250,1250,,,
11/22/1985,123.61,124.33,123.44,123.97,1042000,0,Petco,DW_WINTER GOODS,34187,FALSE,191118,1803,,,
11/25/1985,123.97,124.17,122.82,123.14,834300,0,Menards,D6_HOUSEWARES,16374,TRUE,105200,1315,,,
11/26/1985,123.14,124.25,123.09,123.95,936300,0,Grainger,"D1_PAINT, SUNDRIES AND CLEANING",69455,TRUE,121000,1100,,,
11/27/1985,123.95,125.88,123.88,125.77,1033000,0,WalMart,D4_PLUMBING,12201,FALSE,90321,1173,,,
11/29/1985,125.77,126.43,125.52,126.06,575900,0,Sears,D6_HOUSEWARES,26491,FALSE,113724,1458,,,
12/02/1985,126.06,126.28,124.86,125.18,857600,0,Menards,D6_HOUSEWARES,36504,FALSE,186472,1793,,,
12/03/1985,125.18,125.42,124.72,125.23,845400,0,Sears,D9_CHRISTMAS,19510,FALSE,134930,1310,,,
12/04/1985,125.23,128.05,125.17,127.94,1172000,0,Sears,DW_WINTER GOODS,22989,TRUE,150024,1316,,,
12/05/1985,128.07,129.89,127.86,128.46,1415000,0,Petco,D9_CHRISTMAS,17490,TRUE,108621,1341,,,
12/06/1985,128.46,128.54,126.78,126.96,1108000,0,Tractor Supply,D6_HOUSEWARES,2609,TRUE,111100,1100,,,
12/09/1985,126.96,127.64,126.83,127.49,1048000,0,Do it Best,D9_CHRISTMAS,21147,FALSE,89356,1004,,,
12/10/1985,127.49,128.52,127.15,127.97,1118000,0,Menards,D4_PLUMBING,66715,FALSE,136584,1626,,,
12/11/1985,127.97,129.65,127.97,129.18,1265000,0,Petco,DW_WINTER GOODS,44696,FALSE,110670,1085,,,
12/12/1985,129.18,130.1,129.18,129.76,1173000,0,Walmart Marketplace,DW_WINTER GOODS,55373,FALSE,151512,1284,,,
12/13/1985,129.76,132.17,129.76,132.13,1317000,0,WalMart,D4_PLUMBING,20154,TRUE,202188,1743,,,
12/16/1985,132.13,133.18,132.06,132.61,1153000,0,Sears Marketplace,D5_HARDWARE,44231,FALSE,114000,1500,,,
12/17/1985,132.54,132.73,131.32,131.54,1210000,0,Lowes,D4_PLUMBING,34711,TRUE,147420,1890,,,
12/18/1985,131.52,131.98,130.71,131.14,1379000,0,WalMart,D9_CHRISTMAS,29446,TRUE,227622,1929,,,
12/19/1985,131.14,132.03,130.91,131.93,1149000,0,Petco,D6_HOUSEWARES,18547,TRUE,165558,1346,,,
12/20/1985,131.93,132.58,131.7,132.26,1158000,0,Petco,D4_PLUMBING,15578,FALSE,186472,1793,,,
12/23/1985,132.26,132.26,130.37,130.73,994100,0,Sears Marketplace,D4_PLUMBING,8932,TRUE,166608,1602,,,
12/24/1985,130.73,130.73,129.3,130.03,642800,0,Home Depot,D3_ELECTRICAL,47698,FALSE,125925,1095,,,
12/26/1985,130.03,130.63,129.89,130.35,539000,0,Home Depot,D9_CHRISTMAS,6693,TRUE,162605,1913,,,
12/27/1985,130.35,131.59,130.25,131.49,749100,0,Sears,D6_HOUSEWARES,64137,TRUE,124950,1275,,,
12/30/1985,131.49,132.13,131.24,131.95,928200,0,Walmart Marketplace,D3_ELECTRICAL,3343,FALSE,131976,1128,,,
12/31/1985,131.95,132.66,131.9,132.29,1127000,0,Orchard Supply,D9_CHRISTMAS,25297,TRUE,180540,1770,,,
01/02/1986,132.29,132.45,131.07,131.26,758100,0,Petco,DW_WINTER GOODS,57680,TRUE,162120,1351,,,
01/03/1986,131.26,131.26,130,130.55,891800,0,Sears,D8_AUTOMOTIVE / SPORTING GOODS /,42937,TRUE,79310,1030,,,
01/06/1986,130.55,130.7,129.85,130.35,992400,0,Menards,DW_WINTER GOODS,5051,FALSE,96404,1252,,,
01/07/1986,130.35,132.88,130.33,132.79,1275000,0,Orchard Supply,D2_HAND AND POWER TOOLS,2336,TRUE,183250,1466,,,
01/08/1986,132.79,133.88,131.15,131.16,1400000,0,WalMart,D6_HOUSEWARES,59597,TRUE,104890,1234,,,
01/09/1986,131.01,131.16,128.05,128.8,1194000,0,Menards,DW_WINTER GOODS,64055,FALSE,161962,1723,,,
01/10/1986,128.8,129.97,128.79,129.57,985000,0,Petco,D4_PLUMBING,29642,FALSE,175521,1427,,,
01/13/1986,129.57,129.6,128.63,129.1,894900,0,Petco,D8_AUTOMOTIVE / SPORTING GOODS /,52105,FALSE,127452,1482,,,
01/14/1986,129.1,129.96,128.99,129.18,1029000,0,Sears Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",15277,TRUE,122800,1535,,,
01/15/1986,129.18,131.65,129.01,131.54,1187000,0,Walmart Marketplace,DW_WINTER GOODS,9016,TRUE,177192,1656,,,
01/16/1986,131.54,133.13,131.54,133.06,1239000,0,Walmart Marketplace,D6_HOUSEWARES,45901,TRUE,120190,1190,,,
01/17/1986,133.06,133.6,132.6,132.77,1128000,0,Lowes,"D1_PAINT, SUNDRIES AND CLEANING",4437,FALSE,162946,1582,,,
01/20/1986,132.77,132.79,131.15,131.6,894300,0,Do it Best,D5_HARDWARE,25731,FALSE,145656,1224,,,
01/21/1986,131.6,132.01,130.6,131.09,1107000,0,Menards,D5_HARDWARE,61950,FALSE,128349,1097,,,
01/22/1986,131.09,131.78,129.47,129.62,1076000,0,Walmart Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",42396,TRUE,126564,1194,,,
01/23/1986,129.62,129.62,128.46,129.27,1111000,0,Sears Marketplace,D2_HAND AND POWER TOOLS,34529,FALSE,180288,1878,,,
01/24/1986,129.27,130.54,129.27,130.2,1183000,0,Do it Best,D6_HOUSEWARES,53229,TRUE,88768,1168,,,
01/27/1986,130.21,130.99,129.79,130.79,1105000,0,Orchard Supply,"D1_PAINT, SUNDRIES AND CLEANING",61387,TRUE,172569,1403,,,
01/28/1986,130.79,132.04,130.67,131.99,1154000,0,Walmart Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",36739,TRUE,132825,1725,,,
01/29/1986,131.99,134.13,131.99,133.06,1321000,0,Grainger,D2_HAND AND POWER TOOLS,65163,FALSE,143172,1164,,,
01/30/1986,133.06,133.16,132.09,132.19,1090000,0,Walmart Marketplace,D5_HARDWARE,37975,FALSE,80480,1006,,,
01/31/1986,132.19,133.22,132.03,132.93,1093000,0,Grainger,DW_WINTER GOODS,28602,TRUE,121344,1264,,,
02/03/1986,132.93,134.43,132.93,134.24,1076000,0,Home Depot,D4_PLUMBING,10031,TRUE,124700,1075,,,
02/04/1986,134.24,135.69,134.24,134.6,1253000,0,Grainger,D5_HARDWARE,51658,TRUE,98904,1268,,,
02/05/1986,134.6,135.79,134.6,135.71,1053000,0,Sears,D6_HOUSEWARES,50862,TRUE,144180,1780,,,
02/06/1986,135.71,136.94,135.57,136.64,1197000,0,Menards,D4_PLUMBING,6713,TRUE,228160,1840,,,
02/07/1986,136.47,137.49,135.74,137.42,1111000,0,Lowes,"D1_PAINT, SUNDRIES AND CLEANING",38529,TRUE,144894,1558,,,
02/10/1986,137.4,138.24,137.3,138.13,1074000,0,Do it Best,D8_AUTOMOTIVE / SPORTING GOODS /,62100,TRUE,103152,1228,,,
02/11/1986,138.13,138.61,137.85,138.26,1133000,0,Amazon,D5_HARDWARE,63816,TRUE,97830,1087,,,
02/12/1986,138.26,138.76,138.04,138.66,1222000,0,Petco,"D1_PAINT, SUNDRIES AND CLEANING",2926,FALSE,144144,1287,,,
02/13/1986,138.66,139.29,138.45,139.16,1286000,0,Grainger,D3_ELECTRICAL,15895,TRUE,206192,1841,,,
02/14/1986,139.16,140.63,139.16,140.16,1224000,0,Petco,"D1_PAINT, SUNDRIES AND CLEANING",66927,TRUE,193018,1622,,,
02/18/1986,140.16,140.76,139.99,140.74,1260000,0,Do it Best,"D1_PAINT, SUNDRIES AND CLEANING",4569,TRUE,115967,1303,,,
02/19/1986,140.74,140.92,139.59,139.64,1369000,0,Orchard Supply,D5_HARDWARE,27685,TRUE,122286,1374,,,
02/20/1986,139.64,140.02,138.94,139.95,1249000,0,Orchard Supply,DW_WINTER GOODS,33248,TRUE,98310,1130,,,
02/21/1986,139.95,141.24,139.95,141.15,1467000,0,Home Depot,D5_HARDWARE,17449,TRUE,129078,1278,,,
02/24/1986,141.16,141.18,139.99,140.2,1279000,0,Petco,"D1_PAINT, SUNDRIES AND CLEANING",4741,TRUE,152451,1303,,,
02/25/1986,140.2,140.2,138.87,139.4,1189000,0,Amazon Marketplace,D5_HARDWARE,22848,TRUE,172200,1400,,,
02/26/1986,139.4,139.63,138.68,138.88,1242000,0,Walmart Marketplace,DW_WINTER GOODS,7439,TRUE,168530,1774,,,
02/27/1986,138.88,140.53,138.74,140.52,1247000,0,Lowes,D5_HARDWARE,64065,TRUE,232000,1856,,,
02/28/1986,140.9,141.83,140.41,140.43,1306000,0,Sears Marketplace,DW_WINTER GOODS,67811,FALSE,104448,1024,,,
03/03/1986,140.43,140.66,139.6,139.74,1196000,0,Lowes,DW_WINTER GOODS,20369,TRUE,197110,1714,,,
03/04/1986,139.74,141.77,139.7,140.54,1350000,0,Grainger,DW_WINTER GOODS,23486,FALSE,145841,1363,,,
03/05/1986,140.54,140.62,139.57,140.24,1174000,0,Orchard Supply,"D1_PAINT, SUNDRIES AND CLEANING",9854,TRUE,94864,1232,,,
03/06/1986,140.24,141.35,140.17,140.8,1203000,0,Walmart Marketplace,D9_CHRISTMAS,5814,FALSE,116160,1452,,,
03/07/1986,140.8,141.16,140.24,140.71,1256000,0,Sears,D3_ELECTRICAL,13360,TRUE,136344,1748,,,
03/10/1986,140.71,142.58,140.71,142.43,1129000,0,Walmart Marketplace,D2_HAND AND POWER TOOLS,67591,TRUE,180532,1492,,,
03/11/1986,142.43,145.5,142.43,145.35,1348000,0,Sears Marketplace,D6_HOUSEWARES,37852,TRUE,182435,1705,,,
03/12/1986,145.35,147.32,145.34,146.62,1549000,0,Grainger,D6_HOUSEWARES,35094,FALSE,170550,1895,,,
03/13/1986,146.62,147.05,145.88,147.01,1401000,0,Amazon Marketplace,DW_WINTER GOODS,13703,FALSE,141515,1705,,,
03/14/1986,147.01,147.45,146.55,147,1522000,0,Petco,D8_AUTOMOTIVE / SPORTING GOODS /,3505,TRUE,166257,1421,,,
03/17/1986,147,147,145.57,146.37,1295000,0,Orchard Supply,"D1_PAINT, SUNDRIES AND CLEANING",46685,TRUE,140934,1698,,,
03/18/1986,146.37,147.82,146.12,147.63,1395000,0,Grainger,D6_HOUSEWARES,4400,FALSE,123283,1091,,,
03/19/1986,147.63,148.57,147.43,147.48,1369000,0,Walmart Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",41440,FALSE,124584,1074,,,
03/20/1986,147.48,148.54,147.27,147.8,1514000,0,Walmart Marketplace,D5_HARDWARE,5107,TRUE,142437,1803,,,
03/21/1986,147.8,148.79,147.56,148.01,1329000,0,Tractor Supply,DW_WINTER GOODS,55115,TRUE,135135,1155,,,
03/24/1986,148.01,148.15,146.21,147.09,1096000,0,WalMart,"D1_PAINT, SUNDRIES AND CLEANING",26097,TRUE,113960,1295,,,
03/25/1986,147.09,147.71,146.63,147.49,1100000,0,Lowes,D3_ELECTRICAL,60718,FALSE,148941,1273,,,
03/26/1986,147.49,147.57,146.74,147.26,1271000,0,Tractor Supply,D3_ELECTRICAL,57960,TRUE,152005,1505,,,
03/27/1986,147.25,149.05,147.16,148.38,1364000,0,Grainger,D8_AUTOMOTIVE / SPORTING GOODS /,66382,TRUE,194400,1944,,,
03/31/1986,148.38,149.21,147.89,148.86,1098000,0,Menards,D3_ELECTRICAL,2457,TRUE,211762,1874,,,
04/01/1986,148.86,149.23,148.07,148.45,1253000,0,Sears,"D1_PAINT, SUNDRIES AND CLEANING",54198,FALSE,133905,1185,,,
04/02/1986,148.45,148.94,147.1,148.92,1199000,0,Home Depot,DW_WINTER GOODS,19424,FALSE,88938,1098,,,
04/03/1986,148.92,149.93,148.55,148.71,1190000,0,Orchard Supply,D9_CHRISTMAS,6388,FALSE,217680,1814,,,
04/04/1986,148.71,148.79,146.94,147.04,1117000,0,Orchard Supply,DW_WINTER GOODS,13043,TRUE,111100,1010,,,
04/07/1986,147.04,147.08,144.83,146.05,1074000,0,Sears,"D1_PAINT, SUNDRIES AND CLEANING",19489,TRUE,131376,1288,,,
04/08/1986,146.05,148.95,146.05,148.93,1179000,0,Sears Marketplace,D4_PLUMBING,5672,TRUE,126222,1158,,,
04/09/1986,148.93,150.03,148.54,149.05,1310000,0,Grainger,"D1_PAINT, SUNDRIES AND CLEANING",69026,FALSE,147969,1203,,,
04/10/1986,149.05,151.77,149.05,151.76,1285000,0,Amazon,D3_ELECTRICAL,25784,TRUE,105376,1184,,,
04/11/1986,151.76,153.54,151.76,152.66,1297000,0,Do it Best,"D1_PAINT, SUNDRIES AND CLEANING",55448,FALSE,130400,1630,,,
04/14/1986,152.66,153.98,152.49,153.93,1181000,0,Amazon Marketplace,D6_HOUSEWARES,12793,TRUE,165954,1627,,,
04/15/1986,153.93,155.02,153.43,154.92,1251000,0,Sears Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",21902,FALSE,103356,1044,,,
04/16/1986,154.92,158.98,154.92,158.9,1489000,0,WalMart,D6_HOUSEWARES,51377,FALSE,99198,1002,,,
04/17/1986,158.9,159.86,158.29,159.05,1560000,0,Sears,D4_PLUMBING,46732,FALSE,174400,1744,,,
04/18/1986,157.38,159.15,157.35,157.66,1447000,0,Sears,"D1_PAINT, SUNDRIES AND CLEANING",45757,FALSE,146880,1530,,,
04/21/1986,157.66,158.63,157.24,158.52,1291000,0,Amazon Marketplace,D2_HAND AND POWER TOOLS,49498,FALSE,125280,1160,,,
04/22/1986,157.35,159.47,157.35,157.86,1454000,0,Lowes,DW_WINTER GOODS,26856,TRUE,164030,1745,,,
04/23/1986,156.65,158.21,156.63,157.46,1250000,0,Menards,"D1_PAINT, SUNDRIES AND CLEANING",34770,TRUE,143824,1424,,,
04/24/1986,157.46,160.16,157.46,159.85,1431000,0,Sears,D5_HARDWARE,5551,TRUE,156640,1958,,,
04/25/1986,159.85,160.63,159.6,160.46,1333000,0,Tractor Supply,D2_HAND AND POWER TOOLS,31657,TRUE,187300,1873,,,
04/28/1986,160.46,160.95,159.14,159.9,1102000,0,Sears Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",38235,TRUE,86184,1026,,,
04/29/1986,159.9,160.3,157.7,158.25,1243000,0,Walmart Marketplace,D9_CHRISTMAS,18740,FALSE,137577,1137,,,
04/30/1986,158.25,158.4,154.79,154.91,1210000,0,Tractor Supply,D6_HOUSEWARES,24145,FALSE,209276,1852,,,
05/01/1986,154.91,154.94,153.73,154.21,1143000,0,Tractor Supply,D6_HOUSEWARES,15205,FALSE,81822,1049,,,
05/02/1986,154.21,155.59,154.21,155.01,1026000,0,Sears Marketplace,D9_CHRISTMAS,68069,FALSE,136203,1641,,,
05/05/1986,155.01,157.41,155.01,157.14,991900,0,Amazon Marketplace,D5_HARDWARE,67738,FALSE,134702,1433,,,
05/06/1986,157.14,158.09,156.85,157.13,1085000,0,Menards,D8_AUTOMOTIVE / SPORTING GOODS /,66643,TRUE,129624,1473,,,
05/07/1986,157.13,157.13,155.31,156.26,1160000,0,Petco,D6_HOUSEWARES,55259,FALSE,136612,1394,,,
05/08/1986,156.26,157.53,156.18,157.16,1105000,0,Orchard Supply,D5_HARDWARE,34993,TRUE,203496,1668,,,
05/09/1986,157.16,157.91,156.38,157.91,1159000,0,Amazon Marketplace,"D1_PAINT, SUNDRIES AND CLEANING",13911,TRUE,145945,1717,,,
05/12/1986,157.91,158.26,157.36,157.75,1015000,0,Menards,D4_PLUMBING,61660,FALSE,143110,1301,,,
05/13/1986,157.75,157.92,156.4,157.05,1076000,0,Grainger,D9_CHRISTMAS,65992,TRUE,153699,1689,,,
05/14/1986,157.05,157.82,156.54,157.01,1119000,0,Petco,D8_AUTOMOTIVE / SPORTING GOODS /,66350,FALSE,216048,1929,,,
05/15/1986,157.01,157.12,155.4,155.76,1080000,0,WalMart,D6_HOUSEWARES,10817,TRUE,154682,1958,,,
05/16/1986,155.76,155.86,154.39,154.99,1038000,0,WalMart,D3_ELECTRICAL,23059,TRUE,152776,1352,,,
05/19/1986,154.99,155.6,154.88,155.31,927300,0,Lowes,"D1_PAINT, SUNDRIES AND CLEANING",69258,TRUE,184267,1789,,,
05/20/1986,155.31,157.05,155,157.01,1166000,0,Petco,D2_HAND AND POWER TOOLS,62608,TRUE,109516,1441,,,
05/21/1986,157.01,158.38,156.93,157.44,1375000,0,Sears Marketplace,D6_HOUSEWARES,44022,TRUE,156937,1297,,,
05/22/1986,157.44,159.68,157.26,159.63,1439000,0,Home Depot,D6_HOUSEWARES,37794,TRUE,185270,1910,,,
05/23/1986,159.63,160.39,159.41,160.16,1151000,0,Lowes,D6_HOUSEWARES,8086,FALSE,110107,1069,,,
05/27/1986,160.16,161.21,159.94,161.18,1118000,0,Sears Marketplace,D3_ELECTRICAL,38533,TRUE,167562,1926,,,
05/28/1986,161.18,162.03,160.65,161.3,1315000,0,Sears Marketplace,D4_PLUMBING,43889,FALSE,207348,1868,,,
05/29/1986,161.3,161.82,160.29,161.62,1304000,0,Menards,D5_HARDWARE,54478,FALSE,152900,1529,,,
05/30/1986,161.62,163.62,161.51,163.16,1330000,0,Menards,D4_PLUMBING,58023,FALSE,84420,1005,,,
06/02/1986,163.16,163.98,162,162.03,1106000,0,Tractor Supply,D5_HARDWARE,14219,FALSE,172928,1544,,,
06/03/1986,162.03,162.23,161.37,162.11,1203000,0,Amazon Marketplace,D5_HARDWARE,14077,FALSE,127008,1568,,,
06/04/1986,162.11,163.09,161.4,161.82,1227000,0,Petco,DW_WINTER GOODS,32429,TRUE,124836,1236,,,
06/05/1986,161.82,162.81,161.76,162.36,1256000,0,Do it Best,"D1_PAINT, SUNDRIES AND CLEANING",62167,TRUE,160920,1341,,,
06/06/1986,162.36,162.9,161.88,161.88,1206000,0,Walmart Marketplace,DW_WINTER GOODS,38821,TRUE,172482,1938,,,
06/09/1986,161.88,161.98,158.21,158.61,1150000,0,Tractor Supply,"D1_PAINT, SUNDRIES AND CLEANING",36750,FALSE,144330,1415,,,
06/10/1986,158.6,158.7,157.18,158.1,1198000,0,Amazon Marketplace,D3_ELECTRICAL,46798,FALSE,139239,1719,,,
